,,,,,,UUID,0cbbf9b1-046d-4ee3-9f3c-5e36d1106ea0,50ebf511-957b-4574-9af2-7360dbe85e12,bdf08279-10bf-4157-80dd-6e21f79ee676
,,,,,,Sub category,Global Warming Potential (GWP) - without carbon sequestration,marine biodiversity loss due to macroplastic pollution,marine eco-toxicity due to microplastic pollution
,,,,,,Category,GWP-plastic pollution,GWP-plastic pollution,GWP-plastic pollution
,,,,,,Unit,kg CO2eq,,
7a4d317f-256d-3438-8a96-90ece2935d31,emission,air,Acetic acid,,kg,,,,
ff96e0a1-754b-3426-b69f-9d6e0f5842f6,emission,ground,Acetic acid,,kg,,,,
bffbba00-357a-3d54-8f8b-bdd5476ba8a3,emission,water,Acetic acid,,kg,,,,
837af52a-087b-3f51-8a1a-1a0c19f6fbc5,saline water body,ocean,Acetic acid,,kg,,,,
0c63758a-3b57-31a2-a3ca-8b97c1bfab4b,water,fresh water body,Acetic acid,,kg,,,,
b226d15c-c2e3-3059-bb74-322e3d3fe53d,emission,air,Acetochlor,,kg,,,,
e4a6d76f-7108-3fd3-a47f-22732dbf42aa,emission,water,Acetochlor,,kg,,,,
3135b625-c291-3f2f-bd59-9f628a66a6a9,troposphere,rural,Acetochlor,,kg,,,,
abeb121f-ddf8-38c1-b527-cdd50f032412,water,fresh water body,Acetochlor,,kg,,,,
da3e01c8-7dec-3bce-97d7-a2a787b9bd79,emission,air,Acetone,,kg,,,,
031590c9-2a66-3ecc-8f20-613e5fe40c1a,emission,water,Acetone,,kg,,,,
8384736f-93e4-3edc-af93-47bdc7ef9fc7,emission,air,Acetophenone,,kg,,,,
ec6f9700-243e-4986-b415-42ceb883e2d0,Technosphere Flows,CUTOFF Flows,acetylene,,kg,,,,
3d558588-1b21-320f-b384-5d25c8a87bf4,emission,water,Acid compounds,,kg,,,,
ba9cee15-a144-3c38-9a3b-36931d4e64e9,emission,air,Acrolein,,kg,,,,
f5bb2d1e-1a7a-3587-8922-d711ec7e6ea4,emission,air,Acrylonitrile,,kg,,,,
35fcfbb9-8a7c-3bd2-81ec-fcd5f3fdc02c,water,fresh water body,Acrylonitrile,,kg,,,,
db58a828-2128-4c11-80b7-05d889a3139e,CUTOFF Flows,ecoinvent 3.2,activated silica,,kg,,,,
6b3108d3-8d9a-37c7-a703-50823fcfa471,emission,air,Adsorbable organic halides,,kg,,,,
5a576c3d-b3c9-3fba-9bd7-de61fb2611a6,saline water body,ocean,Adsorbable organic halides,,kg,,,,
494bf4dc-25c0-32b5-bbd1-ba966dc756bd,water,fresh water body,Adsorbable organic halides,,kg,,,,
e11a4509-4bf4-36db-9a52-a905c4d61581,ground,subterranean,Aggregate,,kg,,,,
6a73b431-8d03-30a0-a54f-1feb90124f47,Technosphere Flows,CUTOFF Flows,"Agrochemicals, at plant",,kg,,,,
7a1c82ee-6505-3348-96a3-96f4eb32a325,emission,air,Air,,kg,,,,
fe676e41-1df5-3f0f-9006-ca7e0ab442db,Resource,air,Air,,kg,,,,
8599e263-6ba7-371f-9781-940f34ccf742,emission,water,Alachlor,,kg,,,,
51292556-d521-3c0f-a49a-5ce9ce111e3d,troposphere,rural,Alachlor,,kg,,,,
f4fd849f-fa57-380a-94f8-ddbe012f36a8,water,fresh water body,Alachlor,,kg,,,,
39bd71e3-a5cb-318a-8363-1872c1478f5c,emission,air,"Alcohols, ethoxylated C12-14",,kg,,,,
362f59ba-5bb1-3a44-aaa1-ce7a3e60d0e2,emission,air,Aldehydes,,kg,,,,
7fcdec62-bc1b-364f-a2b3-095db476af5e,emission,air,"Aldehydes, C5",,kg,,,,
9a36d2c5-a47d-3020-9dd2-00b6713b2e0c,emission,air,"Aldehydes, unspecified",,kg,,,,
58f16380-f226-4bdc-ad8d-344d24104d1d,Technosphere Flows,CUTOFF Flows,"alkylbenzene sulfonate, linear, petrochemical",,kg,,,,
10994741-b387-3aef-a485-1b3bb7f32268,Technosphere Flows,CUTOFF Flows,"Aluminium sulphate, powder, at plant",,kg,,,,
314e4cef-5385-3262-bdb6-a756c7817579,emission,air,Aluminum,,kg,,,,
ce7ca5a4-4642-3f68-b2e6-61853872844d,emission,ground,Aluminum,,kg,,,,
2b8613fe-c7db-355d-9754-baebbc92512f,emission,water,Aluminum,,kg,,,,
0c7bf457-0e1a-3f6f-9fab-1fc556516e25,human-dominated,agricultural,Aluminum,,kg,,,,
0e8bf072-b48b-38b0-8c24-7de78a475769,saline water body,ocean,Aluminum,,kg,,,,
f5936996-ef49-39ad-9cf0-591b0e026f7d,water,fresh water body,Aluminum,,kg,,,,
ad176e5a-7abc-380d-a365-f17d52bf6584,emission,water,Aluminum(III),,kg,,,,
95f4b6ba-e403-398e-b82b-876eaa86e68f,water,fresh water body,Americium-241,,kBq,,,,
65b5d5dd-95b5-36b2-8cb0-7c5501ff1e32,emission,air,Ammonia,,kg,,,,
1633cea3-311a-3667-a428-419522a8065d,emission,ground,Ammonia,,kg,,,,
2d117fdd-370d-331c-b07c-b0172c4a10ef,emission,water,Ammonia,,kg,,,,
12077bdf-11eb-3d63-bc89-7102b9692519,saline water body,ocean,Ammonia,,kg,,,,
854dd1a0-00d8-3f1c-a134-26f136cd3fd7,troposphere,rural,Ammonia,,kg,,,,
f90c330f-5759-3886-8fc5-c2b6c46d216e,water,fresh water body,Ammonia,,kg,,,,
24248309-5f3a-3134-9227-e9084be9102d,emission,air,Ammonium,,kg,,,,
d9134087-d959-37a7-b2b0-6c8a620f4c4d,emission,water,Ammonium,,kg,,,,
048c7312-0e5b-3645-8047-eb4413d2a2d6,saline water body,ocean,Ammonium,,kg,,,,
1b77af6c-63a9-3aa3-90e6-a0784756df75,water,fresh water body,Ammonium,,kg,,,,
cf3a10a8-cc6a-3bf5-ada3-b2626091ed50,emission,air,Ammonium chloride,,kg,,,,
712f5239-6b2b-34f5-ae19-5b5265bd123c,Technosphere Flows,CUTOFF Flows,"Ammonium sulfate, at plant",,kg,,,,
5aaca76f-ed8b-3dc6-9cb3-597421c567ac,emission,air,Anthracene,,kg,,,,
7a795e15-85c9-3b42-b787-877707680d93,saline water body,ocean,Anthracene,,kg,,,,
2975273d-d4e8-3568-9433-a2ccedd0e769,water,fresh water body,Anthracene,,kg,,,,
9de688f4-2302-3557-b50c-0f1d304977f4,emission,air,Antimony,,kg,,,,
a6ec695d-c0d4-36a0-8ce6-afaa4239590c,emission,ground,Antimony,,kg,,,,
dde20124-511b-3e0d-8834-5ddd88e15cba,emission,water,Antimony,,kg,,,,
1f7bf7c4-d8aa-393c-82e7-26832e7b0b62,ground,subterranean,Antimony,,kg,,,,
1d691e64-4f46-3268-96c9-64d4e7758e80,Resource,ground,Antimony,,kg,,,,
a63fdbc0-0c6a-33df-a035-71dc7fc7705b,water,fresh water body,Antimony,,kg,,,,
db0b47cf-3c13-3958-9e37-70222d72e5e1,emission,air,Antimony-124,,kBq,,,,
2961b64e-06ee-32d0-813c-81e17ae33b41,water,fresh water body,Antimony-124,,kBq,,,,
8d8c78fb-00f4-3abd-b43b-a8de2d51e551,water,fresh water body,Antimony-125,,kBq,,,,
b7816a89-bb03-328a-8f01-e57d790cdc60,emission,air,Argon,,kg,,,,
0595730a-def1-336a-be91-4d481dfdf1aa,emission,air,Argon-41,,kBq,,,,
8cd40628-79b2-3a83-aa05-dc40ae815266,emission,air,Aromatic hydrocarbons,,kg,,,,
b2d3d158-5bed-3e75-b20b-7a9de6586708,saline water body,ocean,Aromatic hydrocarbons,,kg,,,,
ba0f172d-2abf-3341-9631-c4c7a023da9c,water,fresh water body,Aromatic hydrocarbons,,kg,,,,
2b16d0b5-4713-3bb8-be5b-905382f0e8a8,emission,air,Arsenic,,kg,,,,
e3955c32-e6a0-3b4b-baad-5055042a8dbb,emission,water,Arsenic,,kg,,,,
3a976857-86a0-3cdf-a41e-b1dfa9c17085,water,fresh water body,Arsenic,,kg,,,,
0e4c2745-1f35-3295-96b9-c7e0efe54e9e,emission,air,Arsenic(III) trioxide,,kg,,,,
3fabe8db-c3b5-3701-823e-a3ff0b245710,emission,air,Arsenic(V),,kg,,,,
