0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
64,Low-tech sorting (diesel - m3),,,,,,electricity,"optical sorting, PET",2.6,kWh / metric ton of large rigid mono-layer  PET,,PP-rigid-large,0,0.98,0.98,,PP-rigid-large,0.95,0,0,,,,,
65,,,,,,,electricity,"optical sorting, LDPE",5.3,kWh / metric ton of large rigid mono-layer  LDPE,,PP-flexible-large,0,0,0.882,,PP-flexible-large,0.9,0.9,0,,,,,
66,,,,,,,electricity,"optical sorting, PP",5.3,kWh / metric ton of large rigid mono-layer  PP,,PP-rigid-small,0,0,0.98,,PP-rigid-small,0,0,0,,,,,
67,,,,,,,electricity,"optical sorting, PS",5.3,kWh / metric ton of large rigid mono-layer  PS,,PS-rigid-large,0,0.98,0.98,,PS-rigid-large,0.95,0,0,,,,,
68,Macro- and Micro-plastic pollution,,,,,,electricity,"optical sorting, PVC",5.3,kWh / metric ton of large rigid mono-layer  PVC,,PS-flexible-large,0,0,0.882,,PS-flexible-large,0.9,0.9,0,,,,,
69,Litter rate,0.025,,,,,,,,,,PS-rigid-small,0,0,0.98,,PS-rigid-small,0,0,0,,,,,
70,Mismanaged waste to the environment (rate),0.1,,,,,High-tech sorting ,,,,,PVC-rigid-large,0,0.98,0.98,,PVC-rigid-large,0.95,0,0,,,,,
71,Macro to micropalstic degradation rate,0.1,,,,,flows,equipment,amount ,unit,,PVC-flexible-large,0,0,0.882,,PVC-flexible-large,0.9,0.9,0,,,,,
72,,,,,,,electricity,conveyor,0.167,kwh/ton of total plastic waste input,,PVC-rigid-small,0,0,0.98,,PVC-rigid-small,0,0,0,,,,,
73,,,,,,,electricity,vacuum,2,kwh/ton of large flexible packaging,,Multilayer-rigid-large,0,0,0.98,,Multilayer-rigid-large,0.95,0.95,0,,,,,
74,,,,,,,diesel,rolling stock,10,L/ton of total plastic waste input,,Multilayer-flexible-large,0,0,0.882,,Multilayer-flexible-large,0.9,0.9,0,,,,,
75,No substitution rate for mechanical and chemical recycling was assumed at this stage!,,,,,,electricity,"optical sorting, HDPE",8,kWh / metric ton of large/small/mono-layer HDPE,,,,,,,,,,,,,,,
76,The maximum substitution rates for advanced/mechanical and chemical recycling must be formulated as constraints in the optimization!,,,,,,electricity,"optical sorting, PET",2.6,kWh / metric ton of large/small/mono-layer PET,,,,,,,,,,,,,,,
77,,,,,,,electricity,"optical sorting, LDPE",5.3,kWh / metric ton of large/small/mono-layer LDPE,,,,,,,,,,,,,,,
78,,,,,,,electricity,"optical sorting, PP",5.3,kWh / metric ton of large/small/mono-layer PP,,,,,,,,,,,,,,,
79,,,,,,,electricity,"optical sorting, PS",5.3,kWh / metric ton of large/small/mono-layer PS,,,,,,,,,,,,,,,
80,,,,,,,electricity,"optical sorting, PVC",5.3,kWh / metric ton of large/small/mono-layer PVC,,,,,,,,,,,,,,,
81,,,,,,,electricity,"optical sorting, multi-layer",5.3,kWh / metric ton of large/small/multi-layer single stream,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,BAU assumptions,we assume the only recycling in BAU is mechanical recycling,,,,,,,,,,,,,,,,,,,,,,,
85,Recycling rates (mechanical recycling),,,,,,,,,,,,,,,,,,,,,,,,
86,HDPE,3%,,,,,,,,,,,,,,,,,,,,,,,
87,LDPE,3%,,,,,,,,,,,,,,,,,,,,,,,
88,PET,15%,,,,,,,,,,,,,,,,,,,,,,,
89,PS,2%,,,,,,,,,,,,,,,,,,,,,,,
90,PVC,3%,,,,,,,,,,,,,,,,,,,,,,,
91,PP,3%,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,
96,End of life,Assumption ,,,,,,,,,,,,,,,,,,,,,,,
97,Missmanaged + uncontrolled landfill,22%,24%,for each polymer?,,,,,,,,,,,,,,,,,,,,,
98,Landfill (controlled),50%,55%,,,,,,,,,,,,,,,,,,,,,,
99,Incineration,19%,21%,,,,,,,,,,,,,,,,,,,,,,
100,Recycle,9%,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,0.185,0.7616707617,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,recycled,0.1409090909,0.185,,,,,,,,,,,,,,,,,,,,
120,,,landfill,0.3136363636,0.2991223404,0.370111877,0.469624287,Landfill,,,,,,,,,,,,,,,,,
121,,,incineration,0.1272727273,0.1043860344,0.1291595642,0.1638868461,Incineration,,,,,,,,,,,,,,,,,
122,,,open burning,0.2227272727,0.2334312995,0.288830638,0.3664888669,Open Burning,,,,,,,,,,,,,,,,,
123,,,leakage,0.1909090909,0.1712547097,0.2118979209,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,how much of each polymer is getting recycled?,,,,,,,,,,,,,,,,,,
126,,,,,,,arbitrary (modified to reach to 14% (global recycling rate for packaging),,,sorting efficiency,mechanical recycling efficiency,,,,,,,,,,,,,,
127,,,HDPE,3%,0.2031855717,0.006095567152,0.01523891788,,,0.85,0.887,0.02021210674,,0.1093329992,,,,,,,,,,,
128,,,LDPE,3%,0.2908748746,0.008726246238,0.02181561559,,,0.85,0.906,0.02832828931,,0.153235725,,,,,,,,,,,
129,,,PET,15%,0.213877362,0.0320816043,0.08020401076,,,0.85,0.85,0.1110090114,,0.6004791242,,,,,,,,,,,
130,,,PS,2%,0.04990293683,0.0009980587366,0.002495146841,,,0.85,0.887,0.003309432776,,0.01790165744,,,,,,,,,,,
131,,,PVC,0%,0.02091459035,0,0,,,0,0,0,,0,,,,,,,,,,,
