,,,,,,Process name,Use & collection (BAU),"air separation, cryogenic | nitrogen, liquid | APOS, S","chemical factory construction, organics | chemical factory, organics | APOS, S","chemical production, inorganic | chemical, inorganic | APOS, S","chemical production, organic | chemical, organic | APOS, S","diesel production, petroleum refinery operation | diesel | APOS, S",Fossil-ethylene production,Fossil-MEG production,Fossil-propylene production,Fossil-styrene production,Fossil-TPA production,"hard coal mine operation and hard coal preparation | hard coal | APOS, S",HDPE production (BAU),"heat production, natural gas, at industrial furnace low-NOx >100kW | heat, district or industrial, natural gas | APOS, S","heavy fuel oil production, petroleum refinery operation | heavy fuel oil | APOS, S","incineration, electricity recovery, plastic residues (BAU)","landfill, plastic residues (BAU)",LDPE production (BAU),"liquefied petroleum gas production, petroleum refinery operation | liquefied petroleum gas | APOS, S","market for compressed air, 600 kPa gauge | compressed air, 600 kPa gauge | APOS, S","market for hydrogen, liquid | hydrogen, liquid | APOS, S","market for municipal solid waste | municipal solid waste | APOS, S","market for polyethylene, low density, granulate | polyethylene, low density, granulate | APOS, S","market for polystyrene, general purpose | polystyrene, general purpose | APOS, S","market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | APOS, S","market for wastewater, average | wastewater, average | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for natural gas, high pressure | natural gas, high pressure | APOS, S","mechanical recycling, HDPE sorted (BAU)","mechanical recycling, LDPE sorted (BAU)","mechanical recycling, PET sorted (BAU)","mechanical recycling, PP sorted (BAU)","mechanical recycling, PS sorted (BAU)",open burning,PET production (BAU),"polyethylene terephthalate, granulate, amorphous, recycled to generic market for amorphous PET granulate | polyethylene terephthalate, granulate, amorphous | APOS, S","polyethylene, high density, granulate, recycled to generic market for high density PE granulate | polyethylene, high density, granulate | APOS, S","polypropylene production, granulate | polypropylene, granulate | APOS, S","polyvinylchloride production, bulk polymerisation | polyvinylchloride, bulk polymerised | APOS, S",PP production (BAU),PS production (BAU),"solvent production, organic | solvent, organic | APOS, S",Sorting (BAU),"steam production, as energy carrier, in chemical industry | heat, from steam, in chemical industry | APOS, S","tap water production, conventional treatment | tap water | APOS, S","titanium tetrachloride production | titanium tetrachloride | APOS, S","treatment of hazardous waste, hazardous waste incineration, with energy recovery | hazardous waste, for incineration | APOS, S","treatment of municipal solid waste, sanitary landfill | municipal solid waste | APOS, S","treatment of waste plastic, mixture, open burning | waste plastic, mixture | APOS, S","treatment of waste plastic, mixture, sanitary landfill | waste plastic, mixture | APOS, S","treatment of wastewater, average, capacity 1E9l/year | wastewater, average | APOS, S","treatment of wastewater, unpolluted, capacity 5E9l/year | wastewater, unpolluted | APOS, S"
f68789f5-2fb2-33f3-98ca-233cbc533816,Emission to water,unspecified,"1,3-Dioxolan-2-one",,kg,,,,,,,,6.9948E-12,6.18944E-09,7.25098E-12,4.50248E-09,4.93594E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38a622c6-f086-4763-a952-7c6b3b1c42ba,Emission to air,high population density,"1,4-Butanediol",,kg,,,4.74942E-12,0.027642382,6.14785E-11,1.88403E-11,5.14525E-12,5.91047E-14,2.90047E-11,6.22447E-14,1.84251E-11,1.85264E-11,1.07887E-12,,1.25595E-13,3.18422E-12,,,,4.93906E-12,1.89581E-12,3.06534E-08,1.57665E-13,2.21829E-11,1.80111E-12,3.33515E-11,3.08544E-11,7.59562E-12,2.32313E-12,,,,,,,,2.69476E-11,2.55969E-10,2.24377E-11,7.35472E-11,,,2.29996E-10,,3.41682E-13,8.44867E-15,1.63122E-10,1.21357E-11,2.99117E-13,,1.79313E-13,3.09892E-11,2.08893E-11
83bafcf1-2f2e-4a32-89a0-f1f16ca10626,Emission to air,low population density,"1,4-Butanediol",,kg,,,8.3183E-12,0.001956472,1.62185E-11,7.42647E-12,9.86455E-13,1.24362E-14,1.75036E-11,1.27952E-14,7.15953E-12,7.77499E-12,2.42982E-13,,9.68507E-14,8.87994E-13,,,,1.08205E-12,2.19779E-12,1.16067E-11,2.45673E-14,1.41151E-11,2.54917E-13,2.21251E-11,4.82692E-12,1.28153E-11,7.6008E-13,,,,,,,,5.34934E-11,6.13066E-10,7.21505E-12,2.01731E-11,,,6.64651E-12,,3.05453E-13,1.76943E-14,1.97517E-10,5.09046E-12,1.5745E-13,,5.18698E-14,4.85329E-12,1.54807E-12
d6911d36-3fec-41fe-8ef9-540f6543a240,Emission to water,surface water,"1,4-Butanediol",,kg,,,1.01839E-11,0.050150725,1.30685E-10,3.72629E-11,1.16293E-11,1.29499E-13,5.58222E-11,1.36507E-13,3.63482E-11,3.57532E-11,2.36556E-12,,2.71876E-13,7.16352E-12,,,,1.11471E-11,3.81233E-12,7.04985E-08,3.4603E-13,4.39992E-11,3.96692E-12,6.77257E-11,6.73798E-11,1.63065E-11,5.18731E-12,,,,,,,,5.60191E-11,5.69608E-10,4.5374E-11,1.52222E-10,,,5.23671E-10,,7.62516E-13,1.76988E-14,3.57271E-10,2.55304E-11,6.44385E-13,,3.9068E-13,6.76747E-11,4.52423E-11
541a823c-0aad-4dc4-9123-d4af4647d942,Emission to air,high population density,1-Pentanol,,kg,,,1.37577E-12,0.004687138,6.77037E-12,3.59099E-12,4.79234E-13,7.51142E-15,6.02691E-12,7.86274E-15,3.71397E-12,3.53691E-12,2.89425E-13,,2.19994E-14,4.13355E-13,,,,5.16896E-13,5.62242E-13,3.2013E-12,1.52734E-14,4.97022E-12,2.75358E-13,6.99964E-12,2.54169E-12,2.51252E-12,1.81666E-13,,,,,,,,4.35729E-12,5.54997E-11,3.13897E-12,9.41625E-12,,,3.20055E-12,,6.47358E-14,1.52182E-15,2.64959E-11,1.91622E-12,5.42507E-14,,2.44267E-14,2.55422E-12,1.64028E-12
e4526360-b2a1-4e77-9f00-57dbfe228bde,Emission to water,surface water,1-Pentanol,,kg,,,3.30188E-12,0.011249222,1.6249E-11,8.61847E-12,1.15017E-12,1.80276E-14,1.44647E-11,1.88708E-14,8.9136E-12,8.48867E-12,6.94627E-13,,5.2799E-14,9.92062E-13,,,,1.24056E-12,1.3494E-12,7.6832E-12,3.66566E-14,1.19287E-11,6.60868E-13,1.67993E-11,6.10011E-12,6.03011E-12,4.36003E-13,,,,,,,,1.04576E-11,1.33201E-10,7.5336E-12,2.25992E-11,,,7.68139E-12,,1.55367E-13,3.6524E-15,6.35907E-11,4.59898E-12,1.30203E-13,,5.86248E-14,6.13018E-12,3.9367E-12
8cbaa905-41b0-4327-8403-bf1c8eb25429,Emission to air,high population density,1-Pentene,,kg,,,1.38275E-12,0.024242338,2.20552E-11,1.2317E-11,1.15129E-12,1.4897E-14,1.99146E-11,1.54945E-14,1.27154E-11,1.25541E-11,3.23969E-13,,3.66143E-14,1.01943E-12,,,,1.25431E-12,5.64142E-13,8.24421E-12,2.80261E-14,1.35891E-11,3.58886E-13,1.76376E-11,4.76411E-12,2.82478E-12,6.37344E-13,,,,,,,,7.97449E-12,4.60963E-11,1.13815E-11,3.17817E-11,,,1.09727E-11,,7.88569E-14,2.44668E-15,7.22498E-11,4.6916E-12,8.32077E-14,,4.89139E-14,4.75719E-12,2.93318E-12
f3cf9958-739f-41c1-a679-f550cf0e9b6c,Emission to water,surface water,1-Pentene,,kg,,,2.49518E-12,0.008500843,1.22791E-11,6.51283E-12,8.69166E-13,1.36232E-14,1.09308E-11,1.42603E-14,6.73586E-12,6.41475E-12,5.24918E-13,,3.98994E-14,7.49685E-13,,,,9.37471E-13,1.01972E-12,5.80607E-12,2.77008E-14,9.01428E-12,4.99407E-13,1.26949E-11,4.60975E-12,4.55686E-12,3.2948E-13,,,,,,,,7.90262E-12,1.00658E-10,5.69301E-12,1.70778E-11,,,5.8047E-12,,1.17409E-13,2.76006E-15,4.80544E-11,3.47537E-12,9.83924E-14,,4.43018E-14,4.63247E-12,2.9749E-12
5e98fd60-8da0-4006-9729-4d2797f96302,Emission to air,unspecified,"2,2,4-Trimethyl pentane",,kg,,,5.44893E-13,0.000677895,1.87644E-12,8.60263E-13,9.89721E-14,1.8237E-15,1.54876E-12,1.90497E-15,9.04199E-13,8.24785E-13,3.68393E-13,,7.32967E-15,8.44469E-14,,,,1.06324E-13,1.78271E-13,9.37878E-13,2.90416E-15,1.35463E-12,5.37997E-14,2.00351E-12,7.66691E-13,9.51312E-13,5.68688E-14,,,,,,,,2.36133E-12,2.85252E-11,7.35768E-13,2.24199E-12,,,7.74608E-13,,2.8108E-14,1.01836E-15,1.35074E-11,5.04585E-13,1.5774E-14,,6.14394E-15,7.71012E-13,4.82614E-13
63e76210-8549-11e0-9d78-0800200c9a66,Emission to air,low population density,"2,4-D",,kg,,,,,,,,2.07102E-13,2.75137E-11,2.19017E-13,3.1098E-11,2.69272E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
