0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0c56aee4-7e22-3e85-8e83-34829f3e8304,emission,air,"1,1,1-Trichloroethane",,kg,,,,,,,,,,,,,,,,,,1.74E-13,,,,,,,,,,,,,,,,,,,,,,,,,3.58E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d517e6-4c5d-3002-8a0d-54434c5a3bae,emission,air,"1,2-Dichloroethane",,kg,,,,,,,,,,,,,,,,0.000024,,3.48E-13,,,,,,,,,,,,1.00E-08,,,,,,0.000024,,,,,,,7.17E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7503034-5946-3ef9-8fa9-ec016ce41da9,emission,water,"1,2-Dichloroethane",,kg,,,,,,,,,,,,,,,,1.20E-07,,,,,,,,,,,,,,0.000001,,,,,,1.20E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d90c736-6a06-339d-9a87-9c4af38d3def,water,fresh water body,"1,2-Dichloroethane",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d0f23de-fd8c-3a3d-93f8-8c4265b1540a,water,fresh water body,"1,2-Dichloropropane",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa8a7f5-a708-359a-9af3-4f1279daaaf5,emission,air,"1,3,5-Trimethylbenzene",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457411b2-4dac-3eb2-965d-97b60660afa2,emission,air,"1,3-Butadiene",,kg,,,,,,,,,,,,,,,,1.00E-10,,4.48E-10,,,,,,,,,6.50E-07,,,,,,,,,1.00E-10,,5.86E-07,,,,,2.91E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03E-09,,,,,1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f799425-898b-34ee-9bff-250472b98b2e,emission,water,"1,3-Butadiene",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,0.000001,0.000001,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075caf7c-f1a3-353e-ab5a-3460346ed59f,water,fresh water body,"1,4-Butanediol",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5fa456c-34ed-39a3-868a-377e30ed76c6,emission,air,"1,4-Dioxane",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b51f43e4-5a5f-3eb7-921f-6d3746d33fb6,emission,water,"1,4-Dioxane",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad64464c-1ff3-36e2-b7cd-8e404a62f7f2,emission,air,1-Butene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5a30284-67a4-3a99-83ee-b7a486a2d196,emission,air,1-Hexene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
