0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
a14e3147-67e1-3352-8661-63422edd170f,ground,subterranean,Calcium carbonate,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48036f29-2136-399c-878e-bb10e0580800,ground,subterranean,Calcium chloride,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00be59d0-ecd7-35ff-86e6-9bd2a790f0c6,emission,water,Calcium(II),,kg,,,,,,,,,,,,,,,,,,0.000508,,,,,,0.000501,,,,,,,,,,,,,0.0768,,,,,,0.000159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000635,,,,,,,,,,,,,,,
133271d6-37c8-3f4f-89cf-992a77bb2857,emission,air,Caprolactam,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8c1e692-1c14-34b8-85ca-5f520d341586,emission,air,Carbofuran,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f9a6be3-28c2-3957-af9a-776e56fad108,emission,water,Carbofuran,,kg,,,,,,,,,,,,,,,,,,,,,,,1.34E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6374e337-3dfd-348d-a8dc-3e57cd532581,troposphere,rural,Carbofuran,,kg,,,,,,,,,,,,,,,,,,,,,,,3.12E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05e79550-9068-3d69-b2f8-b5a97927afaa,water,fresh water body,Carbofuran,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7cde5ade-4ac2-3c91-91c7-598042fb6685,ground,subterranean,Carbon,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321a456d-677f-336b-90f8-f49701ddb711,air,stratosphere,Carbon dioxide,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd70c5e6-62c5-396b-bcb2-8be0c25ef088,air,troposphere,Carbon dioxide,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6f010fb-a764-3063-af2d-bcb8309a97b7,emission,air,Carbon dioxide,,kg,,,0.00176,,,0.04521,,,,,,,,,,0.01,,1.0026,,,7.26E-05,,,0.0011,,,2.701,1.2,0.64,0.32,0.64,0.64,0.64,0.043,0.33,0.01,29.4,2.085,,0.037,,0.031,1.5526,,8,,,,,,,,,0.026,,,,,,,,,,,0.39,0.0863,0.112,0.105,0.112,0.112,0.0863,,0.09468,,0.1,1.962,,,0.531,,0.1001,,,,,5.50E-05,0.000106,6.69E-06,1.29E-05,1.23E-05,,,0.01,0.0001,,,,,,,0.768,,,0.415,,,,0.214,,,,0.15,,0.12777777777777777,0.2777777777777778,0.2336111111111111,0.0044444444444444444,0.0030555555555555553,0.012499999999999999,0.0018055555555555555,0.010833333333333334,0.012499999999999999,0.0022222222222222222
58b5cd90-8ba4-32ea-b4aa-3a3438ba8419,Resource,air,Carbon dioxide,,kg,,,,,,,,,,,,,,,,,,,,,,,-1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9749677-9c9f-4678-ab55-c607dfdc2cb9,Emission to air,high population density,"Carbon dioxide, fossil",,kg,,,,,,,,0.09245,2.526,0.21,0.327,0.723,,,,,,,2.549,,,,,,,,,,,,,,,,,,,,,,,,,,,2.549,2.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fe16b97-3332-38eb-8030-b62db19473eb,emission,air,Carbon disulfide,,kg,,,,,,,,,,,,,,,,,,1.13E-12,,,,,,,,,,,,,,,,,,,,,,,,,2.33E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8be8c186-ab86-3f64-b461-918ed7a44e97,water,fresh water body,Carbon disulfide,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187c525c-3715-388c-b303-a0671524a615,emission,air,Carbon monoxide,,kg,,,0.00397,,,0.00001,,,,,,,,,,0.000037,,0.008127,,,1.33E-07,0.0001,,,,,0.014029,,0.00026,0.000001,0.00026,0.00025,0.00025,0.00015,0.00033,0.000037,0.466,0.13535,,0.00017,,,0.000755,0.0001,0.0069,,,,,,,,,0.000081,,,,,,,,,,,0.00072,0.000222,0.000296,2.46E-05,0.000281,0.000281,0.000222,,9.34E-05,,9.69E-05,0.000246,,,0.000035,,0.00001,,,,,9.28E-05,0.000179,1.13E-05,2.18E-05,2.07E-05,,,0.00001,1.00E-07,,,,,0.000001,,,,,,,0.0001,,,,,,,,,,,,,,,,,
3fb21335-87be-3726-b31a-8fc9e98ad9cc,troposphere,rural,Carbon monoxide,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7467352-e7d9-3924-b763-f26bb26ce4cc,emission,air,Carbon tetrachloride,,kg,,,,,,,,,,,,,,,,2.80E-06,,7.03E-12,,,1.87E-07,1.00E-09,,,,,,,,,,,,,,2.80E-06,,,,,,,1.86E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98E-10,5.74E-10,3.62E-11,7.02E-11,6.66E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134672e2-bb82-3ecb-8cd8-e8adcc51c1fa,emission,water,Carbon tetrachloride,,kg,,,,,,,,,,,,,,,,7.00E-09,,,,,,,,,,,,,,,,,,,,7.00E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbfa508b-f3c9-3977-a47d-1138e96914a3,emission,air,Carbon tetrafluoride,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5860024c-105f-3546-a5b9-271267151d8c,emission,air,Carbon-14,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcaedba9-d7b3-37db-8356-dcb747a1dc14,saline water body,ocean,Carbon-14,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c15e10c5-f91c-328a-ae01-d843fececf1a,water,fresh water body,Carbon-14,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64d7e0d8-62dd-3d63-895e-84f94aedbcd3,saline water body,ocean,Carbonate,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e4c974f-9fad-31ca-bcd2-a123eae61d53,water,fresh water body,Carbonate,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108df03-e1fe-3aa7-bb28-f13eaa2d0205,ground,subterranean,Cerium,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2f0cbbe-078a-3dc9-b2c4-d474312d8067,emission,air,Cesium-134,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c37e638-ece0-3a43-b4d8-74b521010d02,saline water body,ocean,Cesium-134,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdd9ff0b-a15b-3cb3-859e-375c1a7b764a,water,fresh water body,Cesium-134,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef53665f-a47e-3f59-8e8d-f799e1705e34,emission,air,Cesium-137,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181a333d-a882-3cd0-bb20-cc7dec6778fb,saline water body,ocean,Cesium-137,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84df495a-c44e-36cf-9976-6e1f9dcb75d1,water,fresh water body,Cesium-137,,kBq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b80498de-0f5e-3d3f-9cbf-396a4952e904,emission,air,CFC-11,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d4d44e0-583d-3d0f-9deb-02d0521024ce,emission,water,CFC-11,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114f739-0964-3e45-9045-1221b33532df,emission,air,CFC-114,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6f92419-d242-3d09-adfb-730988250f61,emission,air,CFC-12,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c70f1e1d-017a-3aa4-9614-fa723adbf49d,emission,air,CFC-13,,kg,,,,,,,,,,,,,,,,,,1.11E-10,,,,,,,,,,,,,,,,,,,,,,,,,5.52E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77E-09,9.18E-09,5.80E-10,1.12E-09,1.07E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924cc8cf-ddf6-3b1a-9fbe-489c095c1f01,emission,water,Chemical Oxygen Demand,,kg,,,,,,0.001081,,,,,,,,,,,,4.17E-05,,,,,,4.18E-05,,,,,0.0004,,0.0004,0.00046,0.00046,0.0001,,,,,,0.00001,,0.00001,1.85E-05,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,0.00057,,,5.10E-05,9.81E-05,6.19E-06,1.20E-05,1.14E-05,,,0.00001,0.00001,0.00001,,,,0.00001,,,,,,,,,5.26E-05,,,,,,,,,,,,,,,
f2154142-13c7-30c3-a098-98517ddfcf39,saline water body,ocean,Chemical Oxygen Demand,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39596c10-bdd2-34d4-a634-775fe8195425,water,fresh water body,Chemical Oxygen Demand,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f35d4bb-17b8-3dc8-a896-2f0ff33d7213,water,fresh water body,Chlorate,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dba13345-758b-3464-81eb-3afafe6e646d,emission,air,Chloride,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ee17f49-01b3-3ae8-9cf8-de8ee9dfd6e0,emission,ground,Chloride,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b415204e-1506-3fc6-8e4b-97f8e64403b8,emission,water,Chloride,,kg,,,,,,,,,,,,,,,,,,0.006346,,,,1.00E-07,,0.006074,,,,,,,,,,,,,0.797,,,,,,0.001988,,,,,,,,,,,,,,,,,,,,,,,0.00205,0.0124,,0.000375,0.000375,0.00205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00773,,,,,,,,,,,,,,,
63b06979-31b5-3ef3-9b31-69f3f959a74d,saline water body,ocean,Chloride,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7c7c0d9-91e9-335a-a362-3d3196e9a5b1,water,fresh water body,Chloride,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4da1480-4f19-3d01-8f04-8432c38991b1,emission,air,Chlorine,,kg,,,,,,1.00E-07,,,,,,,,,,0.00001,,,,,1.15E-06,3.50E-06,,,,,,,1.00E-08,,1.00E-08,1.00E-08,1.00E-08,,,0.00001,,,,,,1.00E-07,0.001901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-08,1.00E-07,,,,1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,
d94f94d7-2d65-3f80-8254-1c8129263b01,emission,water,Chlorine,,kg,,,,,,,,,,,,,,,,,,,,,,1.00E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4015a137-4191-36fe-ab17-c4058c8243ee,human-dominated,agricultural,Chlorine,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3aeccc5-806e-3111-8b4f-e7a65605214e,terrestrial,forest,Chlorine,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a061f985-1e0c-316a-9139-1172285afbbd,water,fresh water body,Chlorine,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff5e65a2-cf7a-328e-b58d-8560c0288c4f,emission,air,Chlormequat chloride,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82c6fea7-d8a5-3858-8ac6-7e408a3f2332,water,fresh water body,Chlormequat chloride,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fe64d97-61d5-3366-9778-8c39d00edd73,emission,air,Chlorobenzene,,kg,,,,,,,,,,,,,,,,,,1.92E-13,,,,,,,,,,,,,,,,,,,,,,,,,3.94E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eec36aa7-2df6-36c3-9a07-500c4bbf62a9,emission,water,Chlorobenzene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a48770cd-a7a2-3e86-9e1b-083d68ba4351,emission,air,Chloroethane,,kg,,,,,,,,,,,,,,,,,,3.66E-13,,,,,,,,,,,,,,,,,,,,,,,,,7.52E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fc17701-9417-3281-b9a3-d7ab3ecc1c57,emission,air,Chloroform,,kg,,,,,,,,,,,,,,,,3.10E-06,,5.14E-13,,,,,,,,,,,,,,,,,,3.10E-06,,,,,,,1.06E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f54d9588-ffe1-3ebb-922d-d7ec19c625a9,emission,water,Chloroform,,kg,,,,,,,,,,,,,,,,6.80E-09,,,,,,1.00E-08,,,,,,,,,,,,,,6.80E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84eb1610-5f8d-3b08-bdaf-71494d960f19,water,fresh water body,Chloroform,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e771661-38c3-332b-b4cb-8e2421b045ce,emission,air,Chloromethane,,kg,,,,,,,,,,,,,,,,8.90E-07,,4.61E-12,,,,,,,,,,,,,,,,,,8.90E-07,,,,,,,9.49E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57facb29-666b-34eb-96a3-670f6d995798,emission,water,Chloromethane,,kg,,,,,,,,,,,,,,,,9.40E-09,,7.08E-12,,,,,,1.83E-12,,,,,,,,,,,,9.40E-09,,,,,,,2.10E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31E-12,,,,,,,,,,,,,,,
dca95a09-d0c2-3d62-ae3c-9e47d1acbf85,water,fresh water body,Chloromethane,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd8b8114-52ed-3963-9a4d-7c375fe951b4,emission,water,Chlorpyrifos,,kg,,,,,,,,,,,,,,,,,,,,,,,1.03E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a68f27f2-78ad-36c7-a990-843b22d12b77,troposphere,rural,Chlorpyrifos,,kg,,,,,,,,,,,,,,,,,,,,,,,2.40E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98bd36e1-fbe4-32ee-ba78-3b6726917c9b,emission,air,Chromium,,kg,,,,,,,,,,,,,,,,,,1.41E-08,,,,,,,,,,,,,,,,,,,,,,,,,4.55E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48E-10,2.85E-10,1.80E-11,3.48E-11,3.30E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979f30f5-f17e-3091-907f-af1921e7e637,emission,ground,Chromium,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a7ef355-2f16-3368-afc8-cf40ed441619,emission,water,Chromium,,kg,,,,,,,,,,,,,,,,,,6.23E-07,,,,,,5.62E-07,,,,,,,,,,1.00E-15,,,,,,1.00E-08,,,1.94E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-11,,,,,6.66E-10,1.28E-09,8.10E-11,1.57E-10,1.49E-10,0.000045,,,1.00E-10,,,,,,,,,,,,,,7.21E-07,,,1.04E-06,,,,,,,,,,,,
ca9614c7-5922-3efa-8816-835941a429f2,ground,subterranean,Chromium,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f98f680a-6cb6-3950-8937-426bdb687b51,human-dominated,agricultural,Chromium,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9f44f4d-5057-35b9-9b78-711903148f12,saline water body,ocean,Chromium,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee55f9c2-37f8-3a07-b987-00c0c63f5ea8,water,fresh water body,Chromium,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9ed8839-5d20-3904-af9c-5807284712e0,emission,air,Chromium(III),,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d16e7927-0054-3884-a0d0-0bf5578fcd41,human-dominated,agricultural,Chromium(III),,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
