0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
use & collection,plastic packaging consumption,FALSE,c5cc5576-5d83-45f0-b405-f87acce8f1ff,FALSE,,Z: Plastic Packaging,A3: Use & Collection,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acetic acid, at plant","Acetic acid, at plant",FALSE,2c696e73-bd01-3f7b-a6c5-a56dee44d66e,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,1,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advanced recycling alternatives,"multi-layer plastic packaging, sorted",FALSE,f0950ca3-c22e-49b9-92c7-5672af73d3a1,FALSE,,A5: EoL,advanced recycling,,,,,-1000,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzene production alternatives,"Benzene, at plant",FALSE,db548272-c05b-39c4-926e-ba9e10a29195,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bio-cyclohexa-2,5-diene-1,4-dicarboxylate production","bio-cyclohexa-2,5-diene-1,4-dicarboxylate",FALSE,c40fe6a2-3398-4fed-b103-5ae1a879695d,FALSE,,Z: Plastic Packaging,Other,,,,,,,,1,,,,,,,-1.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG production (monomer) alternatives,EG (monomer),FALSE,3939233b-f3ea-4e07-98e9-e4acba226e25,FALSE,,Z: Plastic Packaging,A0: Monomer Production,,,,,,,,,1,,,,,,,,,,,,,,,,,138,0.20086,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bio-ethanol production from corn,"ethanol, from fermentation",FALSE,0649006d-908e-43ab-b4e8-1a5511d39ee7,FALSE,,Z: Plastic Packaging,Other,,,,,,,,,-0.538,1,-0.825,-1.7,,-172.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bio-ethylene oxide production,"Ethylene oxide, at plant",FALSE,4cba2656-7694-3b28-9ced-2b49acaa0f7a,FALSE,,Z: Plastic Packaging,Other,,,,,,,,,-0.05146,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylene production (monomer) alternatives,ethylene (monomer),FALSE,735e0b6d-f0cd-42b8-832d-f2b4da336e3f,FALSE,,Z: Plastic Packaging,A0: Monomer Production,,,,,,,,,,,,1,,,,,-0.49,,,,,,,,,,,,,,,1,,,,,,,,,-0.983,,,,,,,,,,,,,,-1.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bio-muconic acid production,bio-muconic acid,FALSE,69e79af4-7cf6-4d32-ae53-8b47b7c3696c,FALSE,,Z: Plastic Packaging,Other,,,,,,,,-0.845,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
